CONAME,GVKEY
NORTHEAST UTILITIES,7970
NORTHERN AIR FREIGHT INC,7971
NORTHERN DATA SYSTEMS INC,7972
NORTHERN ILLINOIS GAS,7973
NISOURCE INC,7974
NORTHERN PRECISION LABS INC,7975
NORTHERN STATES BANCORP,7976
XCEL ENERGY INC,7977
NORTHERN STATES POWER/WI,7978
NORTEL NETWORKS CORP,7980
NORTHERN TRUST CORP,7982
NORTHGATE MINERALS CORP,7984
NORTHROP GRUMMAN CORP,7985
NORTHRUP KING & CO,7986
NORTHSTAR MINERALS INC,7987
NORTHVIEW CORP,7988
WILLIAMS NATURAL GAS CO,7989
NORTHWEST ENERGY,7990
TEREX CORP,7991
NORTHWEST INDUSTRIES,7992
NORTHWEST NATURAL GAS CO,7993
NORTHWEST PIPELINE CORP,7994
BROADVIEW INSTITUTE INC,7995
NORTHWESTERN BELL TELEPHONE,7996
NORTHWESTERN DRUG  -CL A,7997
NORTHWESTERN FINANCIAL CORP,7998
NORTHWESTERN MUTUAL LIFE MTG,7999
RELIASTAR FINANCIAL CORP,8000
NORTHWESTERN CORP,8001
NORTHWESTERN STS PORT CEMENT,8002
NORTHWESTERN STL&WIRE,8003
NORTON CO,8004
NORTON SIMON INC,8005
NORWESCO INC,8006
WELLS FARGO & CO,8007
WELLS FARGO FINANCIAL INC,8008
NOVA CHEMICALS CORP,8009
NOVA CORP-OLD,8010
NOVA PETROLEUM CORP,8011
NOVA PHARMACEUTICAL CORP,8012
NOVAMETRIX MEDICAL SYSTEMS,8014
U S FILTER CORP,8015
NOVAR ELECTRONICS CORP,8016
NU HORIZONS ELECTRS CORP,8017
NUMERICOM INC,8018
NOVO CORP,8019
NOVO-NORDISK A/S  -ADR,8020
NOVUS PROPERTY CO,8021
NOXELL  -CL B,8022
NU-WEST INC,8023
NUC MED INC,8024
METROPOLITAN CIRCUITS,8025
NUCLEAR PHARMACY INC,8026
NUCLEAR RESEARCH ASSOC,8027
CANISCO RESOURCES INC,8028
NUCLEAR SYSTEMS INC,8029
NUCOR CORP,8030
CNA SURETY CORP,8031
NUGGET OIL CORP,8032
NUMAC ENERGY INC,8033
NUMERAX INC,8034
NUMEREX CORP  -OLD,8035
NEW CENTURY COMPANIES INC,8036
NUPEC RESOURCES INC,8037
NURSECARE HEALTH  -CL A,8038
NUTRI-FOODS INTL INC,8039
NUTRI/SYSTEM INC,8040
NUTRITION WORLD INC-OLD,8041
NYNEX CORP-PROJECTED,8042
NYNEX CORP-PREDIVEST,8043
NYNEX CORP,8044
URANIUMCORE COMPANY,8045
OEA INC,8046
O I CORP,8047
OKC CORP,8048
REMINGTON OIL&GAS CP  -CL B,8049
MARINE TRANSPORT CORP,8050
STARMET CORP,8051
PROGRESSIONS HEALTH SYS INC,8052
OGR SERVICE CORP,8053
OPT-SCIENCES CORP,8054
ORS AUTOMATION INC,8055
O'S GOLD SEED CO,8057
D-LANZ DEVELOPMENT GROUP INC,8058
OTF EQUITIES INC,8059
NEWTEK BUSINESS SERVICES INC,8060
OAK HILL SPORTSWEAR INC,8061
OAK INDUSTRIES INC,8062
OAKBROOK CONSOLIDATED INC,8063
OAKITE PRODUCTS,8064
OAKRIDGE ENERGY INC,8065
OAKS INC,8066
OAKWOOD HOMES CORP,8067
OCCIDENTAL PETROLEUM CORP,8068
OCCUPATIONAL MED CORP AMER,8069
OCCUPATIONAL URGENT CARE HEA,8070
OCE NV  -ADR,8071
OCEAN AIRWAYS,8072
OCEAN BIO-CHEM INC,8073
OCEAN DRILLING & EXPLORATION,8075
OCEAN OIL & GAS  -CL A,8076
OCEAN RESEARCH EQUIPMENT INC,8077
OCCIDENTAL PETROLEUM EXPL,8078
OCEANEERING INTERNATIONAL,8079
OCEANIC EXPLORATION CO,8080
OCEANIC RESOURCES INC,8081
OCEANICS INC,8082
ALLICO CORPORATION,8083
STRATEGIC DISTRIBUTION INC,8084
OCTOBER OIL CO,8085
ODELL INC,8086
ITERIS INC,8087
ODYSSEY INC,8088
ODYSSEY OIL CO,8089
OFFICIAL INDUSTRIES INC,8090
OFFSHORE CO,8091
BRISTOW GROUP INC,8092
COVANTA ENERGY CORP,8093
OGILVY GROUP,8094
OGLEBAY NORTON CO,8095
OHIO ART CO,8096
OHIO BELL TELEPHONE CO,8097
OHIO BRASS CO,8098
FIRSTENERGY CORP,8099
SIMETCO INC,8100
SEALY CORP,8101
OHIO POWER,8102
OIL BASE INC,8103
OIL CITY PETROLEUM INC,8104
OIL DRI CORP AMERICA,8105
OIL INTERNATIONAL LTD,8106
OIL SECURITIES INC,8107
OIL PRODUCERS EQUIP CORP,8108
OILGEAR CO,8109
AMERECO,8110
OKLAHOMA ENERGIES CORP,8112
OGE ENERGY CORP,8113
OKLAHOMA OIL CO,8114
OKONITE CO,8115
OLD FASHION FOODS INC,8116
OLD HOME FOODS INC,8117
OLD KENT FINANCIAL CORP,8118
OLD STONE CORP,8120
OLD TOWN CORP,8121
OLGA CO,8122
OLIN CORP,8123
OLINKRAFT INC,8124
OLIX INDUSTRIES INC,8125
RE CAPITAL CORP,8126
DOLCO PACKAGING CORP,8127
OLSTEN CORP,8128
OLYMCO INC,8129
OLYMPIA BREWING,8130
OLYMPIC GAS & OIL INC,8132
OMNICARE INC,8133
CAIRN ENERGY USA INC,8134
OMNI EQUITIES INC,8135
OMARK INDUSTRIES INC,8136
OMNI RESEARCH INC,8137
OMNI SPECTRA INC,8138
OMNI-WAVE ELECTRONICS CORP,8139
OMNIDENTIX SYSTEMS CORP,8140
OMNIMEDICAL,8141
OMNITRONICS RESEARCH CORP,8142
ON-GUARD CORP OF AMERICA,8143
ON LINE MEDIA INC,8144
ON-LINE SOFTWARE INTL,8145
ON-LINE SYSTEMS INC,8146
ONAN CORP,8147
ONE LIBERTY PROPERTIES INC,8148
1 POTATO 2 INC,8149
ONEIDA LTD,8150
ONEOK INC,8151
OMEGA OPTICAL INC,8152
OMEX,8153
ONYX IMI LTD,8154
O'OKIEP COPPER CO  -ADR,8155
OPELIKA MFG CORP,8156
OPEN ROAD INDS,8158
OPPENHEIMER & CO,8159
OPPENHEIMER INDUSTRIES  -OLD,8160
OPPENHEIMER INDUSTRIES INC,8161
OPTELECOM-NKF INC,8162
OPTICAL COATING LAB INC,8163
OPTICAL RADIATION CORP,8164
OPTICAL SPECIALTIES INC,8165
OPTICAL SYSTEMS CORP,8166
OPTICS TECHNOLOGY INC,8167
OPTIVISION INC,8168
ORBOTECH LTD,8169
OPTO MECHANIK INC,8170
ORANGE & ROCKLAND UTILITIES,8171
ORANGE BLOSSOM PRODUCTS INC,8172
ACCEPTANCE INSURANCE COS INC,8173
ORBIT GAS CO  -OLD,8175
ORBIT INTERNATIONAL CORP,8176
OREGON FREEZE DRY FOODS INC,8178
OREGON METALLURGICAL CORP,8179
OREGON PORTLAND CEMENT CO,8180
ORFA CORP OF AMERICA,8181
ORIGINALA PETROLEUM INC,8182
ORIGINIT FABRICS INC,8183
ORIOLE HOMES CORP  -CL B,8184
ORION FINANCIAL LTD,8185
ORION CAPITAL CORP,8186
ORION INDUSTRIES INC,8187
ORION PICTURES CORP,8188
ORION RESEARCH INC,8189
ORMAND INDUSTRIES,8190
ORMONT DRUG & CHEMICAL CO,8191
OSHKOSH B'GOSH INC  -CL A,8193
OSHMANS SPORTING GOODS,8194
OSMONICS INC,8195
OSROW PRODUCTS CORP,8196
O'SULLIVAN CORP,8197
OTIS ELEVATOR CO,8198
OTTER TAIL CORP,8199
OUTBACK OIL & MINERAL EXPL,8200
OUR OWN HARDWARE CO,8201
OUTBOARD MARINE CORP,8202
OUTDOOR SPORTS INDUSTRIES,8203
OUTLET CO,8204
OVERLAND EXPRESS INC,8205
OVERMYER CORP,8207
OVERNITE TRANSPORTATION,8208
OVERSEAS NATIONAL AIRWAYS,8209
OVERSEAS SHIPHOLDING GROUP,8210
OVERTHRUST RESOURCES LTD,8211
AMERICAN VACCINE CORP,8212
OWENS & MINOR INC,8213
OWENS CORNING,8214
OWENS-ILLINOIS INC,8215
OVERTHRUST OIL ROYALTY CORP,8216
OXFORD EXPLORATION CO,8217
OXFORD FIRST CORP,8218
OXFORD INDUSTRIES INC,8219
OXFORD LABORATORIES,8220
OXFORD PENDAFLEX CORP,8221
IRONSTONE GROUP INC-OLD,8222
OXYGEN ENRICHMENT CO LTD,8223
OZARK HOLDINGS INC,8224
OZITE CORP,8225
OZITE CORP/TX,8226
P & A INDUSTRIES INC,8227
P & C FOOD MARKETS INC,8228
P & F INDUSTRIES  -CL A,8229
PM INDUSTRIES INC,8230
PMI HOLDINGS CORP,8231
PAR SYSTEMS CORP,8232
PCA INTERNATIONAL INC,8233
HYPERFEED TECHNOLOGIES INC,8234
PDA ENGINEERING,8235
PEC ELECTRONICS CORP,8236
PEI INC,8237
PETX PETROLEUM CORP,8238
P.H.C. INC,8239
PHH CORP,8240
PKL COS INC-CL A,8241
P K MANAGEMENT CORP,8242
PKS COMMUNICATIONS INC,8243
TRANSCISCO INDS,8244
PNC FINANCIAL SVCS GROUP INC,8245
PPD CORP,8246
PPG INDUSTRIES INC,8247
PS GROUP HOLDINGS INC,8248
COMPONENTS INC PT,8249
PVC CONTAINER CORP,8250
PVO INTERNATIONAL INC,8251
PABST BREWING CO,8252
PACCAR INC,8253
PACESETTER CORP,8254
PACESETTER INDUSTRIES INC,8255
PACEMAKER FINANCIAL CORP,8256
PACER TECHNOLOGY,8257
PACE MEMBERSHIP WAREHOUSE,8258
PACIFIC COAST MEDICAL ENTRPR,8259
PACIFIC ENGR & PRODTN CO-NV,8260
PACIFIC EXPRESS HOLDING INC,8261
PACIFIC FAR EAST LINE INC,8262
PACIFIC GAMBLE ROBINSON CO,8263
PG&E CORP,8264
PG&E GAS TRANSMISSION NW,8265
NEVADA GOLD & CASINOS INC,8266
PACIFIC HOLDING CORP-NEW,8267
PACIFIC HOLDING CORP,8268
PACIFIC INTERMOUNTAIN EXPRES,8269
PACIFIC INTL EQUITIES INC,8270
PACIFIC INTL SERVICES CORP,8271
SEMPRA ENERGY,8272
PACIFIC LIGHTING GAS SUPPLY,8273
PACIFIC LUMBER CO,8274
PACIFIC NOWEST BELL TELEPHON,8275
PACIFIC NORTHWEST DEV CORP,8276
PACIFIC PETROLEUMS LTD,8277
PACIFIC REALTY TRUST,8278
PACIFIC RESOURCES INC,8279
PACIFIC SCIENTIFIC CO,8280
PACIFIC SILVER CORP,8281
PACIFIC SOUTHERN MORTGAGE TR,8282
PACIFIC TELECOM INC,8283
PACIFIC TELESIS GROUP-PROJ,8284
PACIFIC TELESIS GROUP-PRE,8285
PACIFIC TELESIS GROUP,8286
PACIFIC BELL,8287
ZEMEX CDA CORP,8288
PACIFIC UNITED SERVICES CORP,8289
PACIFICORP,8290
PACKAGE MACHINERY CO,8291
PACKAGING CORP AMERICA-OLD,8292
PAXAR CORP,8293
PAGE AIRWAYS INC,8295
PAGE AMERICA GROUP,8296
PAGE PETROLEUM LTD,8297
PAIN CONTROL CENTERS INC,8298
PAINE WEBBER GROUP,8299
PAIUTE OIL & MINING CORP,8300
PAK-WELL CORP,8301
PAKO CORP,8302
PALABORA MINING  -ADR,8303
PALL CORP,8304
PALM BEACH INC,8305
PAMIDA INC,8306
PAN AM CORP,8308
PAN AMERICAN BANKS INC,8309
PALMETTO REAL ESTATE TRUST,8310
PAN OCEAN OIL CORP,8312
PANACOLOR INC,8313
PANACON CORP,8314
PANATECH RESEARCH & DEV CORP,8315
PANAX CORP,8316
PANCHOS MEXICAN BUFFET INC,8317
PANCRETEC INC,8318
PANDEL-BRADFORD INC,8319
PANDICK INC,8320
PANELFAB INTERNATIONAL CORP,8321
PANELGRAPHIC CORP,8322
PANEX INDUSTRIES INC,8323
HARCOR ENERGY CO,8324
PANENERGY CORP,8325
PANHANDLE EASTERN PIPE LINE,8326
PANIFLEX CORP,8327
PANSOPHIC SYSTEMS INC,8328
PANTASOTE INC,8329
LEVCOR INTERNATIONAL INC,8330
REVLON GROUP INC,8331
PAPERCRAFT CORP,8332
PAR PHARMACEUTICAL COS INC,8333
PAR TECHNOLOGY CORP,8334
PARADISE INC,8336
PARADYNE CORP,8337
PARAGON COMMUNICATION SYS,8338
PARAGON VINEYARD INC,8339
PARAHO DEVELOPMENT CORP,8340
PARALLEL PETROLEUM CORP,8341
PARAMOUNT PACKAGING,8342
PARGAS INC,8343
PARISIAN INC,8344
PARK CHEMICAL CO,8345
PARK CITY CONS MINES,8346
PARK COMMUNICATIONS INC,8347
PARK ELECTROCHEMICAL CORP,8348
PARK INVESTMENT CO,8349
PARK OHIO HOLDINGS CORP,8350
PARK PREMIER MINING CO,8351
PARKE DAVIS & CO,8352
PARKER DRILLING CO,8357
PARKER-HANNIFIN CORP,8358
MANPOWER INC,8359
PARKFORD PETROLEUM INC,8360
PARKLANE HOSIERY CO,8361
PARKVIEW-G E M INC,8362
PARKWAY PROPERTIES INC,8363
PARKWOOD CORP,8364
PARLEX CORP,8365
PARLIAMENT HILL CORP,8366
PARSONS CORP,8367
PARTNERS OIL CO  -CL A,8368
EMS SYSTEMS LTD,8369
PASCO INC,8370
PASQUALE FOODS CO  -CL B,8371
PASSPORT TRAVEL INC,8372
PASTA & CHEESE INC,8373
PASTA KING INC,8374
PASTABILITIES FOOD SERVICE,8375
PAT FASHIONS INDUSTRIES,8376
PATHFINDER PETROLEUM CORP,8377
PATERSON PARCHMENT PAPER-OLD,8378
PATHCOM INC,8379
PATHFINDER COMPUTER CENTERS,8380
RECEIVABLE ACQUISITION &MGMT,8381
GRAHAM FIELD HEALTH PDS,8382
PATLEX CORP,8383
PATO CONS GOLD DREDGING LTD,8384
PATRICIAN PAPER CO INC,8385
PATRICK INDUSTRIES INC,8386
GOODRICH PETROLEUM CORP,8387
PPT VISION INC,8388
PATTON OIL CO,8389
PAUL HARRIS STORES,8390
HONDO OIL & GAS CO,8391
PAVELLE CORP,8392
PAUL REVERE LIFE INS CO,8393
PAXALL INC,8394
PAXTON (FRANK) CO  -CL A,8395
PAY-FONE SYSTEMS INC,8396
PAY LESS DRUG STORES-CALIF,8397
PAY LESS DRUG STORES NW,8398
PAY'N PAK STORES,8399
PAY'N SAVE CORP,8400
PAY-O-MATIC CORP,8401
PAYCHEX INC,8402
PAYCO AMERICAN CORP,8403
PAYLESS CASHWAYS,8404
PAYSAVER CATALOG SHOWROOMS,8405
PEABODY COAL CO,8406
PEABODY INTERNATIONAL CORP,8407
PEACHES ENTERTAINMENT CORP,8408
PEAK HEALTH CARE INC,8409
PEARCE URSTADT M & G INC,8411
PEARLE HEALTH SERVICES INC,8412
PEARSALL CHEMICAL CORP,8413
REPUBLIC RESOURCES INC,8414
PEAVEY CO,8415
PEBBLE BEACH CORP,8416
PEC ISRAEL ECONOMIC CORP,8417
PECKHAM INDUSTRIES INC,8418
PEEK'N PEAK RECREATION INC,8420
PEEL-ELDER LTD,8421
PEERLESS CHAIN CO,8422
PEERLESS MFG CO,8423
PEERLESS TUBE CO,8424
PELL INDUSTRIES INC,8425
PEMCOR INC,8427
PENGO INDUSTRIES INC,8428
PENINSULA RESOURCES CORP,8429
AMERICAN FINANCIAL GROUP INC,8431
PENN CORP,8432
PENN DAIRIES  -CL A,8433
PENN ENGR & MFG CORP,8434
PENN MED TECHNOLOGY INC,8435
PENN MERCHANDISING CORP,8436
PENN METAL FABRICATORS INC,8437
PENN PACIFIC CORP,8438
PENN TRAFFIC CO,8439
PENN VIRGINIA CORP,8440
PENN YAN EXPRESS  -CL A,8441
PENNANT PACIFIC RESOURCES,8442
PNR FOOD INDS LTD  -CL A,8443
PENNCORP FINANCIAL INC,8444
PENNEY (J C) FUNDING CORP,8445
PENNEY (J C) CO,8446
PENNSTAR CO,8448
PENNSYLVANIA CO,8449
PENNSYLVANIA ELECTRIC CO,8450
PENNSYLVANIA ENGINEERING,8451
PENNSYLVANIA ENTERPRISES INC,8452
PG ENERGY INC,8453
PENNSYLVNIA NATL TURF  -CL A,8454
PPL CORP,8455
PENNSYLVANIA POWER CO,8456
PENNSYLVANIA RE INVS TRUST,8457
PENNWALT CORP,8458
PENNZOIL LA & TEX OFFSHORE,8459
PENOBSCOT SHOE,8460
ACCESS BEYOND INC,8461
PENTA SYSTEMS INTL INC,8462
PENTAIR INC,8463
PENTON INC,8464
ROTONICS MANUFACTURING INC,8465
PEOPLE EXPRESS AIRLINES INC,8466
PENNZENERGY CO,8468
PEOPLES DRUG STORES INC,8469
PEOPLES ENERGY CORP,8470
PEOPLES GAS LIGHT & COKE CO,8471
PEOPLES RESTAURANTS INC,8473
PEORIA & EASTERN RAILWAY CO,8474
PEP BOYS-MANNY MOE & JACK,8475
PEPCOM INDUSTRIES,8476
PEPI INC,8477
PEPSI-COLA BTLG OF WASH DC,8478
PEPSICO INC,8479
VERIDICOM INTERNATIONAL INC,8480
PEREGRINE ENTERTAINMENT LTD,8481
PERFECT FIT INC,8482
PERFECT LINE MFG CORP,8483
PERFECTDATA CORP,8484
PERFECTION ENTERPRISES,8485
PERINI CORP,8486
PACIFIC GATEWAY PPTYS INC/MD,8487
APPLERA CORP-APPLIED BIOSYS,8488
PERKINS FOOD INC,8489
PERLE SYSTEMS LTD,8490
PERMA BILT INDUSTRIES,8491
PERMEATOR CORP,8492
PERMIAN BASIN ROYALTY TRUST,8493
PERRY & CO,8495
PERRY DRUG STORES,8496
DALRADA FINANCIAL CORP,8497
PERSONAL DIAGNOSTICS INC,8498
PERTEC COMPUTER CORP,8499
PET BAZAAR INC,8500
PET INC-OLD,8501
PETER PAUL INC,8502
PETRA RESOURCES INC,8503
PETRIE STORES LIQUIDATION TR,8504
PETRO-LEWIS CORP,8505
PETRO-MINERALS EXPLORATION,8506
PETRO SILVER INC,8507
PETROL INDUSTRIES INC,8508
PETROLANE INC,8510
PETROLEUM ACREAGE CORP-TX,8511
PETROLEUM DEVELOPMENT CORP,8512
PETROLEUM EQUIPMENT TOOLS CO,8513
PETROLEUM HEAT &POWER  -CL A,8514
PHI INC,8515
PETROLEUM INVESTMENTS  -LP,8516
PETROLITE CORP,8517
LOVELADY (IKE) INC,8518
PETROMAX ENERGY CORP,8519
PETROMINERALS CORP-OLD,8520
PETROMINERALS CORP,8521
PETROX INDUSTRIES INC,8522
PETTIBONE CORP,8523
GREAT NORTHERN GAS CO,8524
PETRO QUEST INC,8525
PHARMACEUTICAL FORMULATIONS,8526
PHARMACY CORP OF AMERICA INC,8528
PEZGOLD RESOURCE CORP,8529
PFIZER INC,8530
PHARMACAPS INC,8531
PHARMACARE INC,8532
PHARMACIA AB  -ADR,8533
PHARMAKINETICS LABS INC,8534
PHASER SYSTEMS INC,8535
PHELPS DODGE CORP,8536
CITIGROUP GLOBAL MKTS HLDGS,8537
PHILADELPHIA & READING CORP,8538
EXELON CORP,8539
PHILADELPHIA GERMANTOWN RR,8540
PHILADELPHIA LIFE INS CO,8541
AQUA AMERICA INC,8542
ALTRIA GROUP INC,8543
PHILIPPINE LONG DISTANCE-ADR,8544
PHILIPS INDUSTRIES INC,8545
KONINKLIJKE PHLPS ELC  -ADR,8546
PHILLIPS CONTROL CORP,8548
CONOCOPHILLIPS,8549
PHILLIPS SCREW CO,8550
PHILLIPS-VAN HEUSEN CORP,8551
PHOENIX AMERICAN INC,8552
PHOENIX MATERIALS CORP,8553
PHOENIX MEDICAL TECHNOLOGY,8554
PHOENIX RESOURCES CO,8555
PHOENIX STEEL CORP,8556
AMSERV HEALTHCARE INC,8557
PHONE-MATE INC,8558
PHOTO CONTROL CORP,8559
PHOTO-MARKER CORP,8561
PSC INC,8562
PHOTON INC,8563
PHOTON SOURCES INC,8564
PHOTRONICS CORP,8565
PHYSIO CONTROL CORP,8566
PHYSIO TECHNOLOGY INC,8567
PIASECKI AIRCRAFT CORP,8568
PIC'N PAY STORES,8569
MACFRUGALS BARGAINS,8570
PICCADILLY CAFETERIAS INC,8571
PICKWICK INTERNATIONAL INC,8572
PICO PRODUCTS INC,8573
PIECE GOODS SHOPS INC,8574
PIEDMONT AVIATION INC,8575
PIEDMONT INDUSTRIES,8576
PIEDMONT NATURAL GAS CO,8577
PIEDMONT REAL ESTATE INVT TR,8578
PIER 1 IMPORTS INC/DE,8579
PIER 1 IMPORTS INC,8580
PIERCE GOVERNOR INC,8581
SENECA FOODS CORP  -CL B,8582
PIEZO ELECTRIC PROD,8583
PIKE NATURAL GAS CO,8584
PILLSBURY CO,8585
PILOT RADIO CORP,8586
PINETREE COMPUTER SYS INC,8588
PINKERTONS INC  -CL B,8589
GOLDEN OIL CO/DEL,8590
PIONEER CORP-ARKANSAS,8591
PIONEER CORP-TEXAS,8592
PIONEER CORP  -OLD,8593
PIONEER CORP  -ADR,8594
PIONEER GROUP INC,8595
PIONEER HI-BRED INTERNATIONL,8596
PIONEER INTERNATIONAL CORP,8597
PIONEER PLASTICS CORP,8598
AGILYSYS INC,8599
PIONEER SYSTEMS INC,8600
PIONEER TEXAS CORP,8601
PIPER AIRCRAFT CORP,8602
PIPER HYDRO INC,8603
PIPER INDUSTRIES,8604
PIPER JAFFRAY COS INC,8605
PITNEY BOWES INC,8606
PITT-DES MOINES INC,8607
PITTOCK FINANCIAL SERVICES,8608
PITTSBURGH & LAKE ERIE RR CO,8610
PITTSBURGH & W VA RAILROAD,8611
PITTSBURGH BREWING,8612
PISMO COAST VILLAGE INC,8613
PITTSBURGH COKE &CHEMICAL CO,8614
PITTSBURGH FORGINGS CO,8615
PITTSBURGH TESTING LAB,8616
PITTSTON CO-CONSOLIDATED,8617
PITTWAY CORP,8618
PIZZA CORP OF AMERICA,8619
PIZZA ENTERTAINMENT CNTRS,8620
PIZZA HUT INC,8621
PIZZA INN INC,8622
PIZZA TRANSIT AUTHORITY INC,8623
PIZZA TIME THEATRE INC,8624
PIZZA VENTURES INC,8625
PLACER DOME INC,8626
PLAINS RESOURCES INC,8627
PLANNING & SERVICE CORP,8628
PLANNING RESEARCH CORP,8629
PLANO PETROLEUM CORP,8630
PLANT INDUSTRIES INC,8631
PLANTATION CORP,8632
PLANTRONICS INC,8633
PLASMINE CORP,8634
PLASTILINE INC,8635
PLATRONICS INC,8636
PLASMA-THERM INC,8637
PLAYBOY ENTERPRISES  -CL B,8638
PLAZA COMMUNICATIONS INC,8639
PLAZA GROUP INC,8640
PLAZA REALTY INVESTORS,8641
PLENUM PUBLISHING CORP,8642
PLESSEY PLC  -ADR,8643
KINROSS GOLD CORP,8644
PLOUGH INC,8645
PLUMB OIL CO,8646
PLY-GEM INDUSTRIES,8647
PLYMOUTH RUBBER  -CL A,8648
PNEUMATIC SCALE CORP,8649
PNEUMO CORP,8650
PO FOLKS INC,8651
POCCO INC,8652
POCONO HOTELS CORP,8653
POCONO INTL RACEWAY INC,8654
POGO PRODUCING CO,8655
POLARIS RESOURCES INC,8656
PRIMARY PDC INC,8657
MYND CORP,8658
POLLUTION CONTROL INDS INC,8659
MCMARTIN INC,8660
POLYCAST TECHNOLOGY CORP-OLD,8662
POLYCHROME CORP,8663
POLYCOMPUTERS INC,8664
POLYDEX CHEMICALS CANADA LTD,8665
POLYDEX PHARMACEUTICALS LTD,8666
POLYMER CORP,8667
POLYMER MATERIALS INC,8668
POLYMER RESEARCH CORP OF AM,8669
POLYMERIC RESOURCES CP,8670
POLYMUSE INC,8671
POLY CO OF AMERICA INC,8672
PONDEROSA INC,8674
POPE & TALBOT INC,8675
POPE EVANS & ROBBINS INC,8676
POPEIL BROTHERS INC,8677
POREX TECHNOLOGIES CORP,8678
PORT HURON PAPER CO,8679
PORTA-PRO INC,8680
PORTA SYSTEMS CORP,8681
PORTEC INC,8682
PORTER (H.K.) INC-DEL,8683
PORTLAND GENERAL CORP,8684
POSI-SEAL INTERNATIONAL,8685
POSITECH CORP,8686
POSSIS MEDICAL INC,8687
POST AMERICAN CORP,8688
POST CORP,8689
POSTAL FINANCE CO,8690
POSTAL INSTANT PRESS,8691
POTLATCH CORP,8692
POTOMAC EDISON,8693
PEPCO HOLDINGS INC,8694
POTT INDUSTRIES INC,8695
POSTAL FINANCIAL CORP,8696
POTTER INSTRUMENT INC,8697
POWER RECOVERY SYSTEMS INC,8698
POWELL INDUSTRIES INC,8699
POWER COMPUTER SYS INC-CL A,8700
POWER CONVERSION INC,8701
POWER DESIGNS INC,8703
ESCO TRANSPORTATION CO,8704
POWERS REGULATOR CO,8705
POWERTEC INC,8706
PRAB INC,8707
PRAIRIE OIL ROYALTIES CO LTD,8708
PRAIRIE PRODUCING CO,8709
PRAIRIE STATES EXPLORATION,8710
PRATT & LAMBERT UNITED INC,8711
PRATT (HENRY) CO,8712
DREW NATIONAL CORP,8713
PRATT-READ CORP,8714
POWER RESOURCES CORP,8715
PREPAID LEGAL SERVICES INC,8716
PRECISION CASTPARTS CORP,8717
PRECISION FILM & VIDEO  -OLD,8718
PRECISION OPTICS INC,8719
PRECISION PLASTICS CORP,8720
PRECISION POLYMERS INC,8721
PRECISION TECHNOLOGIES,8722
PRECO INC,8723
PREFERRED HEALTH CARE LTD,8724
PREMIER ENERGY CORP,8725
PREMIER INDUSTRIAL CP,8726
PREMIER MICROWAVE CORP,8727
PREMIER RESOURCES LTD-CO,8728
PRENTICE-HALL INC,8730
PRESENT INC,8731
PRESENT CO INC,8732
PRECISION MONOLITHICS INC,8733
PRESIDENTIAL RLTY NEW  -CL B,8734
PRESIDENTS FIRST LADY SPA,8735
PRESIDIO OIL  -CL A,8736
PRESLEY COS,8737
PRESSURE PIPING COMPONENTS,8738
PRESTO PRODUCTS INC,8739
PRESTON CORP,8740
PRESTON MINES LTD,8741
PREVOR MAYRSOHN INTL  -CL A,8742
PREWAY INC,8743
PRIAM CORP,8744
PRICE COMMUNICATIONS CORP,8745
PRICE CO,8746
PRIMAGES INC  -CL A,8748
DR HOLDINGS/DE,8749
PRIME HOSPITALITY CORP,8750
PRIMO INC,8751
PRINCE CONSOLIDATED MINING,8752
PRINCETON CHEMICAL RESH INC,8753
PRINCETON AMERICAN CORP,8754
PRIMA ENERGY CORP,8755
PRIMARK CORP-OLD,8756
PRINTOGS LTD,8758
PRINTRONIX INC,8759
VIDEO CITY INC,8760
PROCOR INC,8761
PROCTER & GAMBLE CO,8762
PRODIGY SYSTEMS INC,8763
PRO-SCAN INC,8764
PRIVATE SCREENINGS INC,8765
PRO-CEL INTERNATIONAL INC,8766
PROFIT SYSTEMS INC,8767
PRO-FAC COOPERATIVE INC,8768
PRODUCT DESIGN & ENGR INC,8769
PRODUCTION OPERATORS CORP,8770
PRODUCTS RESEARCH & CHEMICAL,8771
PROFESSIONAL CARE SVCS INC,8772
PROFESSIONAL HEALTH SYSTEMS,8773
PROFILE SPORTS CORP,8774
PROGRAMMED TAX SYSTEMS INC,8775
PROGRAMMING & SYSTEMS INC,8776
PROGRAMS & ANALYSIS INC,8777
PROGRAMS UNLIMITED INC,8778
PROGRESS INDUSTRIES INC,8779
PROGRESSIVE CORP-PA,8780
PROGRESSIVE INDUSTRIES CORP,8781
PALMER (ARNOLD) GOLF CO,8782
PROLER INTERNATIONAL CORP,8783
PROMOVISION VIDEO DISPLAYS,8784
PROPERTY CAPITAL TRUST INC,8785
PROPERTY INVESTORS COLORADO,8786
ARCHSTONE-SMITH TRUST,8787
PROSPECT INDUSTRIES CORP,8788
PROTECTIVE LIFE CORP,8789
PROTO MED INC,8790
PROTOCOL COMPUTERS INC,8791
PROVIDENCE ENERGY CORP,8792
PROVIDENCE GAS CO,8793
PROVIDENT COS INC,8794
PROFESSIONAL DATA SVCS INC,8795
PROVIDENT NATIONAL CORP,8796
PROVINCETOWN-BOSTON AIRL INC,8798
PROVINCIAL HOUSE INC,8799
PRUDENTIAL GROUP INC,8800
PSYCH SYSTEMS INC,8801
PUBCO CORP,8802
