CONAME,GVKEY
AIR FLORIDA SYSTEM INC,1204
AIR FORWARDERS INC,1205
AIR INDS CORP,1206
AIR KING CORP,1207
AIR MIDWEST INC,1208
AIR PRODUCTS & CHEMICALS INC,1209
AIR T INC,1210
AIR WEST INC,1211
AIR WISCONSIN SERVICES INC,1212
AIRBORNE INC,1213
ACI HOLDING INC,1214
AIRCO INC,1215
AIRCRAFT INSTRUMENT & DEV,1216
AIRLIFT INTERNATIONAL INC,1217
AIRPAX ELECTRONICS INC,1218
AIRWICK INDUSTRIES INC,1219
AJAX MAGNETHERMIC CORP,1220
AKZONA,1221
ALA MOANA HAWAII PROPERTIES,1222
ALABAMA BY-PRODUCTS  -CL B,1223
ALABAMA GAS CORP,1224
ALABAMA POWER CO,1225
ALAMCO INC,1226
ALAMITO CO,1227
ALANCO TECHNOLOGIES INC,1228
ALANTHUS CORP,1229
ALASKA AIR GROUP INC,1230
ALASKA GOLD CO,1231
ALASKA INTL INDUSTRIES INC,1232
ALASKA NORTHWEST PROPERTIES,1233
ATRION CORP,1234
ALBA-WALDENSIAN INC,1235
ALBANY INTL CORP  -OLD,1236
ALBEE HOMES INC,1237
ALBERTA ENERGY CO LTD,1238
ALBERTO-CULVER CO,1239
ALBERTSON'S INC,1240
ALBION INTL RESOURCES INC,1241
ALBUQUERQUE WESTN SOLAR INDS,1242
ALCAN INC,1243
ALCIDE CORP,1244
AMERISOURCE CORP,1245
IKON OFFICE SOLUTIONS,1246
ALCOLAC INC,1247
ALCON LABORATORIES INC,1248
ALDEBARAN DRILLING CO INC,1249
ALDEN ELECTRONICS INC,1250
ALDON INDUSTRIES INC,1251
ALDRICH CHEMICAL INC,1252
ALEXANDER & ALEXANDER,1253
ALEXANDER & BALDWIN INC,1254
ALEXANDER ENERGY CORP,1255
ALEXANDER HAMILTON INST INC,1256
ALEXANDER'S INC,1257
CAPCO ENERGY INC,1258
ALFACELL CORP,1259
ADRIEN ARPEL INC,1260
ALGERAN INC,1261
ALGOMA STEEL INC,1263
ALGOREX CORP,1264
AMERICAN EAGLE RESOURCES INC,1265
ALICO INC,1266
ALISON AYRES INC,1267
ALL AMERICAN BURGER INC,1268
ALL AMERICAN GOURMET CO,1269
ALL AMERICAN INDUSTRIES INC,1270
ALL SEASONS RESORTS INC,1271
ALL STATE PROPERTIES  -LP,1272
ALL-STATES LEASING CO,1273
ALLEGHANY CORP,1274
ALLEGHENY & WESTERN ENER-OLD,1275
ALLEGHENY & WESTERN RAILWAY,1276
ALLECO INC,1277
SUNBEAM CORPORATION,1278
ALLEGHENY ENERGY INC,1279
ALLEGRI-TECH INC,1280
ALLEN TELECOM INC,1281
ALLEN (R C) INC,1282
ALLEN ORGAN CO  -CL B,1283
ALLERGAN PHARMACEUTICALS INC,1284
ALLIANCE TIRE &RUBBER  -CL A,1285
ALLIANCE NORTHWEST INDS INC,1286
ALLIED AERO INDUSTRIES INC,1287
ALLIED ARTISTS INDUSTRIES,1288
ALLIED ARTISTS PICTURES CORP,1289
ALLIED BANCSHARES INC-TX,1290
ALLIED CONTROL INC,1291
ALLIED FARM EQUIPMENT  -CL A,1292
ALLIED FOODS INC,1293
ALLIED MAINTENANCE,1294
ALLIED MILLS INC,1295
ALLIED NURSING CARE INC,1296
ALLIED PRODUCTS,1297
ALLIED RESEARCH ASSOC INC,1298
ALLIED SECURITY INC-OLD,1299
HONEYWELL INTERNATIONAL INC,1300
ALLIED STORES,1301
ALLIED SUPERMARKETS,1302
ALLIED TECHNOLOGY INC,1303
ALLIED TELEPHONE,1304
ALLIED THERMAL CORP,1305
ALLIED VAN LINES INC,1306
ALLIS-CHALMERS CREDIT CORP,1307
ALLIS-CHALMERS ENERGY INC,1308
ALLISON STEEL MFG CO,1309
ALLISTER CORP,1310
ALC COMMUNICATIONS INC,1311
ALLOY METAL PRODUCTS INC,1312
ALLOYS UNLIMITED INC,1313
ALLRIGHT AUTO PARKS INC,1314
ALLY & GARGANO INC,1315
ALLSTATE FINANCIAL CORP,1316
ALLSTATE INDUSTRIES INC,1317
ALLTEL CORP,1318
ALLYN & BACON INC,1319
ALMADEN VINEYARDS INC-DEL,1320
ALMY STORES INC,1322
ALNAN INC,1323
SCHERER HEALTHCARE INC,1324
ALOHA INC,1325
ALPEX COMPUTER CORP,1326
SKYWORKS SOLUTIONS INC,1327
ALPHA SOLARCO INC,1328
ALPHANUMERIC INC,1329
ALPHATYPE CORP,1330
ALPINE GROUP INC,1331
ASIA SUPERNET CORP,1332
ALPHA PETROLEUM EXPLORATION,1333
NQL INC,1334
ALLTEL NEW YORK INC,1335
ALLTEL PENNSYLVANIA INC,1336
ALLTEL ILLINOIS INC,1337
ALTA ENERGY CORP-OLD,1338
ALTA INDUSTRIES CORP,1339
ALTA LOMA OIL CO,1340
ALTAIR CORP-DEL,1341
ALTAIR CORP-PUERTO RICO,1342
ALTAMIL CORP,1343
ALTEC CORP,1344
ALTERMAN INVESTMENT FUND,1345
ALTERNACARE CORP,1346
ALTEX OIL CORP,1347
ALTIUS CORP,1348
ALTON PACKAGING CORP,1349
ALTOS COMPUTER SYS,1350
ALTRON INC,1351
ALCOA INC,1356
ALUMINUM CO OF CANADA LTD,1357
ALUMINUM SPECIALTY CO,1358
ALZA CORP,1359
SENTO CORP,1360
AMALGAMATED AUTOMOTIVE INDS,1361
AMALGAMATED SUGAR CO,1362
BESTWAY INC,1363
AMAREX INC,1364
AMAX INC,1365
AMBAC INDUSTRIES INC,1366
AMBER RESOURCES CO OF COLO,1367
AMBRA OIL & GAS CO,1368
AMBRIT INC,1369
AMBULATORY MEDICAL CARE INC,1370
AMCAST INDUSTRIAL CORP,1372
AMCO INDS INC,1373
AMCOLE ENERGY CORP,1374
AMDISCO CORP,1375
AMECO INC,1376
AMEDCO INC,1377
AMELCO CORP,1378
AMERACE CORP,1379
HESS CORP,1380
AMERFORD INTERNATIONAL CORP,1381
US AIRWAYS GROUP INC,1382
AMERICAN ADVENTURE INC,1383
AMERICAN AGGREGATES CORP,1384
AMERICAN AGRI-FUELS CORP,1385
AMERICAN AGRONOMICS,1386
AMERICAN AIR FILTER INC,1387
AMERICAN AIRLINES INC,1388
AMERICAN ALLOYS CORP,1389
AMERICAN APPRAISAL ASSOC INC,1390
AMCORD INC,1391
AMDAHL CORP,1392
AMERCO,1393
AMERICAN BAKERIES CO,1394
